States,confirmed,recovered,tested,vaccinated1,vaccinated2,deceased,other
AN,3.0,5.0,8936.0,884,10640,,
AP,2873.0,3590.0,254532.0,1223010,1887005,30.0,
AR,66.0,97.0,4788.0,3312,23647,,
AS,2056.0,2215.0,269097.0,274869,849889,24.0,
BR,40.0,31.0,1378539.0,1286708,2144970,,
CH,28.0,20.0,10726.0,3680,21641,,
CT,205.0,103.0,147451.0,379374,604260,5.0,
DL,267.0,239.0,395086.0,160323,269146,,
DN,,2.0,,2802,14244,,
GA,222.0,409.0,19026.0,8418,46494,6.0,
GJ,159.0,116.0,328489.0,335172,1660382,2.0,
HP,1537.0,1154.0,64352.0,13244,234011,20.0,-1.0
HR,95.0,87.0,148110.0,160777,368141,,
JH,137.0,250.0,464579.0,299587,428313,3.0,
JK,611.0,572.0,254608.0,33383,414843,3.0,
KA,2347.0,2339.0,724215.0,623591,1373861,75.0,
KL,53326.0,48406.0,506604.0,109805,792534,3089.0,
LA,58.0,28.0,2475.0,525,1532,,
LD,,,1625.0,69,796,,
MH,8117.0,15146.0,773516.0,1611778,1282938,200.0,7.0
ML,256.0,460.0,13944.0,7871,41927,4.0,
MN,439.0,652.0,12787.0,7665,71276,10.0,
MP,105.0,74.0,393209.0,148817,2034460,1.0,
MZ,4098.0,5685.0,42841.0,4302,11262,21.0,
NL,130.0,144.0,4606.0,4706,23628,6.0,13.0
OR,3046.0,3230.0,473919.0,731837,917236,24.0,
PB,192.0,162.0,221114.0,200182,223256,8.0,
PY,278.0,315.0,21095.0,8324,20073,,
RJ,27.0,26.0,95132.0,271500,864947,,
SK,79.0,76.0,2847.0,782,14044,2.0,6.0
TG,1189.0,1121.0,261086.0,1072389,961422,9.0,
TN,7407.0,8852.0,858304.0,788134,1578082,97.0,
TR,87.0,62.0,22126.0,4155,74642,,
TT,96071.0,101753.0,8431577.0,15883780,24527530,3727.0,37.0
UP,63.0,58.0,1140736.0,2266921,3130828,1.0,
UT,75.0,74.0,83377.0,25250,258381,1.0,12.0
WB,6453.0,5953.0,300114.0,3809597,1871612,86.0,
